feature,target,score,signed_score
Bit_195,ff,0.00683890059105385,-0.00683890059105385
Substrate_Work_Function,ff,0.006761649450283379,0.006761649450283379
Bit_801,ff,0.00656650401734803,0.00656650401734803
Bit_969,ff,0.00656650401734803,0.00656650401734803
FractionCSP3,ff,0.005885641952865526,0.005885641952865526
Post-washing_Annealing_Time(min),ff,0.00559048825726465,0.00559048825726465
Bit_255,ff,0.004959910681290244,-0.004959910681290244
Bit_914,ff,0.004959910681290244,-0.004959910681290244
Bit_42,ff,0.004267268094355527,0.004267268094355527
Bit_917,ff,0.004156957201904483,-0.004156957201904483
Bit_239,ff,0.0018868895152426197,-0.0018868895152426197
Bit_974,ff,0.0013815960790007778,-0.0013815960790007778
Bit_744,ff,0.0006217182355503501,-0.0006217182355503501
RingCount,jsc,0.4135907112965595,0.4135907112965595
Chi4v,jsc,0.4066376430070226,0.4066376430070226
Chi3v,jsc,0.3983208656902489,0.3983208656902489
NumAromaticRings,jsc,0.39629064058168056,0.39629064058168056
Ipc,jsc,0.3947419313308846,0.3947419313308846
Chi4n,jsc,0.3946729853741952,0.3946729853741952
MolMR,jsc,0.39131961092765183,0.39131961092765183
BertzCT,jsc,0.3911670018944372,0.3911670018944372
Chi1v,jsc,0.3896017833297344,0.3896017833297344
Bit_935,jsc,0.38796410906130524,0.38796410906130524
LabuteASA,jsc,0.38637606199255653,0.38637606199255653
SlogP_VSA8,jsc,0.3846498974535573,0.3846498974535573
Chi3n,jsc,0.38340272653939705,0.38340272653939705
Chi1,jsc,0.3830443405311005,0.3830443405311005
Chi2v,jsc,0.3828304328958936,0.3828304328958936
Chi0v,jsc,0.3819435557521539,0.3819435557521539
Bit_192,jsc,0.3815252422731178,0.3815252422731178
Bit_486,jsc,0.3815252422731178,0.3815252422731178
Bit_814,jsc,0.3815252422731178,0.3815252422731178
HeavyAtomCount,jsc,0.3813798772261923,0.3813798772261923
Chi2n,jsc,0.3812344657281687,0.3812344657281687
Chi1n,jsc,0.3811762910049429,0.3811762910049429
NumAromaticCarbocycles,jsc,0.3780646819386706,0.3780646819386706
fr_benzene,jsc,0.3780646819386706,0.3780646819386706
NumValenceElectrons,jsc,0.37461834158482005,0.37461834158482005
MolLogP,jsc,0.37375306881861753,0.37375306881861753
AvgIpc,jsc,0.37308512574774616,0.37308512574774616
NumHeterocycles,jsc,0.37275023552869035,0.37275023552869035
BCUT2D_LOGPHI,jsc,0.37269974878537515,0.37269974878537515
ExactMolWt,jsc,0.3718856178535241,0.3718856178535241
Chi0,jsc,0.37115425395438084,0.37115425395438084
MolWt,jsc,0.37061017474306823,0.37061017474306823
Chi0n,jsc,0.3698881181595381,0.3698881181595381
HeavyAtomMolWt,jsc,0.36932037364514614,0.36932037364514614
Kappa1,jsc,0.36708335965686667,0.36708335965686667
BalabanJ,jsc,0.3596900453260729,-0.3596900453260729
Bit_605,jsc,0.346879521744808,0.346879521744808
fr_NH0,jsc,0.3425231330852214,0.3425231330852214
Kappa2,jsc,0.34230834905081253,0.34230834905081253
Annealing,jsc,0.34017057005333995,0.34017057005333995
BCUT2D_CHGLO,jsc,0.3391420607140482,-0.3391420607140482
PEOE_VSA1,jsc,0.3379906893907905,0.3379906893907905
fr_bicyclic,jsc,0.33579787568056185,0.33579787568056185
VSA_EState2,jsc,0.3340335206451449,0.3340335206451449
Bit_121,jsc,0.333742901956912,0.333742901956912
BCUT2D_MWLOW,jsc,0.33157522356350005,-0.33157522356350005
SlogP_VSA6,jsc,0.3297684395923994,0.3297684395923994
Phi,jsc,0.32140018118972685,0.32140018118972685
NOCount,jsc,0.3211145891663332,0.3211145891663332
PEOE_VSA7,jsc,0.32078175879191473,0.32078175879191473
Bit_406,jsc,0.31939560970074493,0.31939560970074493
Bit_971,jsc,0.31939560970074493,0.31939560970074493
NumHDonors,jsc,0.31893900682403065,0.31893900682403065
